date,state,deathIncrease,positiveIncrease
2021-02-05,KS,206,2647
2021-02-05,ID,-1,402
2021-02-05,IL,106,3660
2021-02-05,IN,49,1481
2021-02-05,KY,50,2256
2021-02-05,MN,22,1048
2021-02-05,MA,75,3287
2021-02-05,MD,36,1547
2021-02-05,ME,2,265
2021-02-05,MI,25,1754
2021-02-05,LA,32,866
2021-02-05,IA,34,649
2021-02-05,AL,84,1496
2021-02-05,GU,0,14
2021-02-05,GA,102,4842
2021-02-05,FL,215,11171
2021-02-05,DE,56,321
2021-02-05,DC,8,269
2021-02-05,CT,29,1431
2021-02-05,CO,27,1863
2021-02-05,CA,558,14021
2021-02-05,AZ,196,3826
2021-02-05,AS,0,0
2021-02-05,AR,41,1824
2021-02-05,MO,13,1325
2021-02-05,HI,0,129
2021-02-05,MP,0,0
2021-02-05,PA,138,4688
2021-02-05,MT,-1,347
2021-02-05,WY,0,108
2021-02-05,WV,20,597
2021-02-05,WI,30,1427
2021-02-05,WA,28,1584
2021-02-05,VT,0,109
2021-02-05,VI,0,19
2021-02-05,VA,82,5069
2021-02-05,UT,17,1216
2021-02-05,TX,401,14495
2021-02-05,TN,203,2661
2021-02-05,SD,10,131
2021-02-05,SC,66,6096
2021-02-05,RI,3,600
2021-02-05,PR,6,80
2021-02-05,OR,7,715
2021-02-05,OK,29,2662
2021-02-05,OH,62,3683
2021-02-05,NY,153,8777
2021-02-05,NV,39,897
2021-02-05,NM,23,582
2021-02-05,NJ,93,4228
2021-02-05,NH,6,478
2021-02-05,NE,6,520
2021-02-05,ND,4,61
2021-02-05,NC,113,5547
2021-02-05,MS,40,1210
2021-02-05,AK,0,165
